problem_id,domain,language,prompt,model,run,correct
91245748,Calculus,ES,ZS,GPT-4o,2,0
69096660,Calculus,ES,ZS,GPT-4o,2,0
92325881,Calculus,ES,ZS,GPT-4o,2,1
37339456,Calculus,ES,ZS,GPT-4o,2,1
68035715,Geometry,ES,ZS,GPT-4o,2,0
88300591,Mathematical Logic,ES,ZS,GPT-4o,2,1
30264009,Mathematical Logic,ES,ZS,GPT-4o,2,1
69874541,Mathematical Logic,ES,ZS,GPT-4o,2,1
42283864,Mathematical Logic,ES,ZS,GPT-4o,2,1
40400682,Probability,ES,ZS,GPT-4o,2,0
11740200,Mathematical Logic,ES,ZS,GPT-4o,2,0
10016400,Mathematical Logic,ES,ZS,GPT-4o,2,0
22015068,Mathematical Logic,ES,ZS,GPT-4o,2,1
95825976,Probability,ES,ZS,GPT-4o,2,0
13123055,Calculus,ES,ZS,GPT-4o,2,0
41926288,Calculus,ES,ZS,GPT-4o,2,1
39422336,Theory of Numbers,ES,ZS,GPT-4o,2,0
46648638,Algebra,ES,ZS,GPT-4o,2,1
91557340,Algebra,ES,ZS,GPT-4o,2,1
95742475,Theory of Numbers,ES,ZS,GPT-4o,2,1
37465279,Theory of Numbers,ES,ZS,GPT-4o,2,0
46784732,Algebra,ES,ZS,GPT-4o,2,0
77573257,Theory of Numbers,ES,ZS,GPT-4o,2,0
50587904,Algebra,ES,ZS,GPT-4o,2,0
77476392,Calculus,ES,ZS,GPT-4o,2,1
82424055,Mathematical Logic,ES,ZS,GPT-4o,2,1
83268318,Mathematical Logic,ES,ZS,GPT-4o,2,0
12631363,Theory of Numbers,ES,ZS,GPT-4o,2,1
53431694,Theory of Numbers,ES,ZS,GPT-4o,2,0
27600538,Algebra,ES,ZS,GPT-4o,2,1
67048238,Theory of Numbers,ES,ZS,GPT-4o,2,0
10501336,Algebra,ES,ZS,GPT-4o,2,0
10819664,Theory of Numbers,ES,ZS,GPT-4o,2,1
84414289,Theory of Numbers,ES,ZS,GPT-4o,2,0
93030585,Algebra,ES,ZS,GPT-4o,2,1
37967363,Algebra,ES,ZS,GPT-4o,2,1
91250457,Algebra,ES,ZS,GPT-4o,2,1
22774437,Algebra,ES,ZS,GPT-4o,2,1
24705295,Algebra,ES,ZS,GPT-4o,2,1
13226850,Algebra,ES,ZS,GPT-4o,2,1
89629381,Theory of Numbers,ES,ZS,GPT-4o,2,1
30542860,Geometry,ES,ZS,GPT-4o,2,0
39221677,Geometry,ES,ZS,GPT-4o,2,1
28658009,Theory of Numbers,ES,ZS,GPT-4o,2,1
69710886,Theory of Numbers,ES,ZS,GPT-4o,2,0
78646333,Geometry,ES,ZS,GPT-4o,2,0
52601141,Mathematical Logic,ES,ZS,GPT-4o,2,0
49790913,Theory of Numbers,ES,ZS,GPT-4o,2,0
39271842,Algebra,ES,ZS,GPT-4o,2,1
33207141,Geometry,ES,ZS,GPT-4o,2,1
41858890,Geometry,ES,ZS,GPT-4o,2,1
14793502,Probability,ES,ZS,GPT-4o,2,1
31369699,Theory of Numbers,ES,ZS,GPT-4o,2,1
35785392,Mathematical Logic,ES,ZS,GPT-4o,2,1
36102586,Algebra,ES,ZS,GPT-4o,2,1
41485018,Probability,ES,ZS,GPT-4o,2,0
44556592,Calculus,ES,ZS,GPT-4o,2,0
54579607,Calculus,ES,ZS,GPT-4o,2,0
60713931,Probability,ES,ZS,GPT-4o,2,1
64041478,Algebra,ES,ZS,GPT-4o,2,0
65904660,Mathematical Logic,ES,ZS,GPT-4o,2,0
69758831,Theory of Numbers,ES,ZS,GPT-4o,2,0
70107447,Probability,ES,ZS,GPT-4o,2,1
70675663,Calculus,ES,ZS,GPT-4o,2,0
75069520,Probability,ES,ZS,GPT-4o,2,0
75721634,Geometry,ES,ZS,GPT-4o,2,0
80693918,Theory of Numbers,ES,ZS,GPT-4o,2,0
80866823,Probability,ES,ZS,GPT-4o,2,1
84145301,Probability,ES,ZS,GPT-4o,2,0
85182422,Probability,ES,ZS,GPT-4o,2,0
